frame,head_x,head_y,tail_x,tail_y
1,224,432,209,548
2,224,430,187,557
3,220,431,207,547
4,222,430,206,551
5,222,429,216,546
6,225,430,214,547
7,221,429,212,545
8,223,428,214,545
9,219,424,217,544
10,218,423,222,542
11,220,422,222,539
12,219,422,227,535
13,225,419,233,530
14,222,417,235,527
15,222,413,233,531
16,218,409,240,521
17,217,408,240,518
18,218,405,247,509
19,219,401,251,508
20,217,398,252,505
21,218,396,256,497
22,213,393,261,491
23,215,392,263,493
24,211,390,264,490
25,216,385,269,488
26,225,385,270,492
27,231,385,272,493
28,238,388,273,505
29,252,390,273,510
30,257,393,266,506
31,263,399,256,519
32,270,405,253,528
33,279,410,248,537
34,281,416,241,543
35,287,423,230,553
36,298,435,224,555
37,302,442,226,557
38,303,451,212,567
39,293,450,209,567
40,301,466,196,569
41,296,475,184,570
42,298,483,177,571
43,296,493,168,569
44,297,501,159,568
45,292,508,152,564
46,287,514,137,558
47,281,521,126,552
48,274,530,125,549
49,269,533,115,541
50,262,538,111,538
51,255,545,101,531
52,253,548,95,526
53,245,549,95,523
54,245,549,95,523
55,250,552,92,527
56,251,552,95,529
57,254,550,97,536
58,258,551,102,540
59,258,551,105,545
60,265,554,107,552
61,264,554,115,561
62,268,554,119,569
63,271,554,120,575
64,273,553,121,576
65,278,555,129,585
66,280,555,139,596
67,284,549,139,597
68,290,551,150,605
69,297,549,155,610
70,298,553,158,618
71,291,555,164,621
72,291,560,160,623
73,296,566,160,626
74,295,570,157,628
75,293,578,157,633
76,293,587,152,634
77,290,595,147,636
78,287,600,144,634
79,290,605,142,634
80,287,609,142,639
81,290,615,141,642
82,292,616,146,647
83,297,617,153,655
84,297,615,158,660
85,299,614,163,670
86,303,615,171,673
87,306,611,172,676
88,308,610,183,680
89,309,609,185,681
90,320,608,195,689
91,320,609,204,692
92,322,608,210,694
93,324,605,220,697
94,327,601,221,697
95,330,597,231,700
96,331,598,238,699
97,332,597,249,704
98,336,597,249,707
99,340,603,250,711
100,342,606,252,713
101,345,611,253,714
102,348,617,248,721
103,348,625,248,726
104,352,631,247,729
105,353,638,244,731
106,354,645,246,733
107,360,651,242,734
108,365,654,244,741
109,363,658,250,741
110,366,657,255,746
111,367,656,258,750
112,371,657,267,749
113,373,652,274,751
114,372,649,283,755
115,378,644,289,753
116,376,643,295,753
117,384,643,301,753
118,382,638,299,753
119,385,636,310,750
120,385,632,318,750
121,384,628,326,744
122,386,624,336,749
123,391,624,348,747
124,389,620,358,745
125,390,621,366,743
126,398,620,371,743
